cluster,domain_center_lat,domain_center_lon,city,country,lat,lon,operating_300km,new_300km,wishlist,notes,include,C40 comment,analyse results,range,GID_0,NAME_0,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,adm_level,city_short,city_no,runName
1,5.3599517,-4.0082563,Abidjan,C??te d?????Ivoire,5.3599517,-4.0082563,0,700,N,NA,Y,NA,Y,0,CIV,C????te d'Ivoire,CIV.1_1,Abidjan,CIV.1.1_1,Abidjan,CIV.1.1.1_1,Abidjan,1,Abidjan,1,Abidjan
2,25.2048493,55.2707828,Dubai,United Arab Emirates,25.2048493,55.2707828,0,2400,N,NA,Y,NA,Y,0,ARE,United Arab Emirates,ARE.3_1,Dubai,ARE.3.3_1,Sector 3,ARE.3.3.49_1,Trade Center Second,1,Dubai,2,Dubai
3,32.124052,119.1113565,Nanjing,China,32.060255,118.796877,150581,20309,Y,NA,Y,NA,Y,61.01518353,CHN,China,CHN.15_1,Jiangsu,CHN.15.4_1,Nanjing,CHN.15.4.6_1,Nanjing,2,Nanjing,3,Nanjing
3,32.124052,119.1113565,Zhenjiang,China,32.187849,119.425836,133661,14219,Y,NA,Y,NA,Y,61.01518353,CHN,China,CHN.15_1,Jiangsu,CHN.15.13_1,Zhenjiang,CHN.15.13.5_1,Zhenjiang,2,Zhenjiang,4,Nanjing
4,30.274084,120.15507,Hangzhou,China,30.274084,120.15507,128376,4934,Y,NA,Y,NA,Y,0,CHN,China,CHN.31_1,Zhejiang,CHN.31.1_1,Hangzhou,CHN.31.1.3_1,Hangzhou,2,Hangzhou,5,Hangzhou
5,31.230416,121.473701,Shanghai,China,31.230416,121.473701,107491,4934,Y,NA,Y,NA,Y,0,CHN,China,CHN.24_1,Shanghai,CHN.24.1_1,Shanghai,CHN.24.1.10_1,Shanghai,2,Shanghai,6,Shanghai
6,39.9041999,116.4073963,Beijing,China,39.9041999,116.4073963,77004,6290,Y,NA,Y,NA,Y,0,CHN,China,CHN.2_1,Beijing,CHN.2.1_1,Beijing,CHN.2.1.1_1,Beijing,2,Beijing,7,Beijing
7,36.067108,120.382609,Qingdao,China,36.067108,120.382609,71575,7595,Y,NA,Y,NA,Y,0,CHN,China,CHN.23_1,Shandong,CHN.23.10_1,Qingdao,CHN.23.10.6_1,Laoshan,2,Qingdao,8,Qingdao
8,22.66383663,113.830537,Shenzhen,China,22.543096,114.057865,54968.2,8360,Y,NA,Y,NA,Y,129.1701809,CHN,China,CHN.6_1,Guangdong,CHN.6.15_1,Shenzhen,CHN.6.15.2_1,Shenzhen,2,Shenzhen,9,Shenzhen
8,22.66383663,113.830537,Hong Kong,China,22.3193039,114.1693611,54148.2,8360,Y,NA,Y,NA,Y,129.1701809,HKG,Hong Kong,HKG.17_1,Yau Tsim Mong,NA,NA,NA,NA,0,HongKong,10,Shenzhen
8,22.66383663,113.830537,Guangzhou,China,23.12911,113.264385,50444.2,10480,Y,NA,Y,NA,Y,129.1701809,CHN,China,CHN.6_1,Guangdong,CHN.6.4_1,Guangzhou,CHN.6.4.2_1,Guangzhou,2,Guangzhou,11,Shenzhen
9,26.074478,119.296482,Fuzhou,China,26.074478,119.296482,51509,2190,Y,NA,Y,NA,Y,0,CHN,China,CHN.4_1,Fujian,CHN.4.1_1,Fuzhou,CHN.4.1.3_1,Fuzhou,2,Fuzhou,12,Fuzhou
10,30.592849,114.305539,Wuhan,China,30.592849,114.305539,48629,20379,Y,NA,Y,NA,Y,0,CHN,China,CHN.13_1,Hubei,CHN.13.12_1,Wuhan,CHN.13.12.4_1,Wuhan,2,Wuhan,13,Wuhan
11,-25.99564193,28.2621472,Johannesburg,South Africa,-26.2041028,28.0473051,41361.8,7768.8,Y,NA,Y,NA,Y,74.85261075,ZAF,South Africa,ZAF.3_1,Gauteng,ZAF.3.1_1,City of Johannesburg,ZAF.3.1.1_1,City of Johannesburg,2,Johannesburg,14,Johannesburg
11,-25.99564193,28.2621472,Tshwane,South Africa,-25.6051205,28.3929417,41361.8,7768.8,Y,NA,Y,NA,Y,74.85261075,ZAF,South Africa,ZAF.3_1,Gauteng,ZAF.3.2_1,City of Tshwane,ZAF.3.2.1_1,City of Tshwane,2,Tshwane,15,Johannesburg
11,-25.99564193,28.2621472,Ekhuruleni,South Africa,-26.1777025,28.3461948,41361.8,7768.8,Y,NA,Y,NA,Y,74.85261075,ZAF,South Africa,ZAF.3_1,Gauteng,ZAF.3.3_1,Ekurhuleni,ZAF.3.3.1_1,Ekurhuleni,2,Ekhuruleni,16,Johannesburg
12,38.914003,121.614682,Dalian,China,38.914003,121.614682,38848,7150,Y,NA,Y,NA,Y,0,CHN,China,CHN.18_1,Liaoning,CHN.18.4_1,Dalian,CHN.18.4.2_1,Dalian,2,Dalian,17,Dalian
